nicho,cidade,nome,endereco,telefone,website,tipo,nota,reviews,Descricao,Latitude,Longitude
Projetos e licenciamento de pequenas centrais hidrelétricas,Itajubá,PCH Luiz Dias,Itajubá - MG,,,Usina Hidrelétrica,5.0,2.0,,-22.369432,-45.351112
Projetos e licenciamento de pequenas centrais hidrelétricas,Itajubá,CGH Itajubá,Itajubá - MG,,,Usina Hidrelétrica,3.5,2.0,,-22.355606,-45.377476
Projetos e licenciamento de pequenas centrais hidrelétricas,Itajubá,iX Estudos e Projetos,Itajubá - MG,(35) 3622-3114,,Consultoria em engenharia,5.0,5.0,"""super interessante.""",-22.424894,-45.457306
Projetos e licenciamento de pequenas centrais hidrelétricas,Itajubá,Usina Luiz Dias,Itajubá - MG,,,Usina Hidrelétrica,4.5,2.0,"""Prestando serviços""",-22.369545,-45.350613
Projetos e licenciamento de pequenas centrais hidrelétricas,Itajubá,"Universidade Federal de Itajubá, Campus Prof. José Rodrigues Seabra",Itajubá - MG,(35) 3629-1101,,Universidade,4.8,511.0,"""O estacionamento é amplo e arborizado.""",-22.412832,-45.449753
Projetos e licenciamento de pequenas centrais hidrelétricas,Itajubá,Usina Hidrelétrica de Furnas,São José da Barra - MG,(35) 3523-4341,,Usina Hidrelétrica,4.6,194.0,"""Possui oito unidades geradoras com um total instalado de 1.216 megawatts.""",-20.676575,-46.337242
