nicho,cidade,nome,endereco,telefone,website,tipo,nota,reviews,Descricao,Latitude,Longitude
Projetos e regularização de usinas fotovoltaicas coletivas,Itajubá,Juntos Energia,Itajubá - MG,0800 718 7203,,Empresa de energia solar,2.6,71.0,"""Entrega o que promete""",-22.428127,-45.45619
Projetos e regularização de usinas fotovoltaicas coletivas,Itajubá,Solarprime Soluções em Energia | Unidade Itajubá,Itajubá - MG,(35) 99139-2758,,Fornecedor de equipamentos a energia solar,5.0,42.0,"""Cliente satisfeito com a compra e colocação do sistema fotovoltaico.""",-22.441967,-45.433247
Projetos e regularização de usinas fotovoltaicas coletivas,Itajubá,3T SOLAR - Soluções em Energia | Energia Solar | Painéis Fotovoltáicos,Itajubá - MG,(35) 3622-0802,,Engenheiro,4.7,35.0,"""Empresa de excelência em soluções de energia""",-22.424833,-45.46815
Projetos e regularização de usinas fotovoltaicas coletivas,Itajubá,Energia Service,Itajubá - MG,(35) 3617-0296,,Fornecedor de equipamentos a energia solar,4.8,17.0,"""Empresa de ótima qualidade!!""",-22.438341,-45.4369
Projetos e regularização de usinas fotovoltaicas coletivas,Itajubá,Archote Jr. - Projetos Elétricos,Itajubá - MG,(35) 99741-0136,,Consultoria em engenharia,5.0,14.0,"""Foram super atenciosos e entregaram tudo no prazo correto e estabelecido.""",-22.412374,-45.4496
Projetos e regularização de usinas fotovoltaicas coletivas,Itajubá,Alta Tensão Energia Solar,Itajubá - MG,(35) 2143-1277,,Fornecedor de equipamentos a energia solar,4.9,44.0,"""Ainda vou instalar sistema de alarme com eles pra fechar o pacote.""",-22.439768,-45.435738
