nicho,cidade,nome,endereco,telefone,website,tipo,nota,reviews,Descricao,Latitude,Longitude
fotografia com drone Itajubá,Itajubá,Bild - Imagens aéreas / Drones,R. Manoel Gomes de Oliveira,,,Serviço de fotografia,5.0,2.0,"""Muito bom, recomendo a todos.""",-22.420082,-45.463108
fotografia com drone Itajubá,Itajubá,Gávea Drone Imagens Aéreas,,,,Fotógrafo aéreo,5.0,45.0,"""Lindas imagens com grande qualidade, trabalho excelente""",,
fotografia com drone Itajubá,Itajubá,Estúdio Lane Fotografias - Fotógrafa em Itajubá,,(35) 99742-6858,,Fotógrafo,5.0,8.0,"""Faz fotos excelentes tanto no studio quanto ao ar livre.""",,
fotografia com drone Itajubá,Itajubá,Ronaldo Fotógrafo,"R. Maj. Belo Lisboa, 103",(35) 3617-9974,,Fotógrafo de casamento,4.7,19.0,,-22.425285,-45.455196
