nicho,cidade,nome,endereco,telefone,website,tipo,nota,reviews,Descricao,Latitude,Longitude
Consultoria em licenciamento sanitário e ambiental para clínicas e fábricas,Itajubá,Equilibre Ambiental,Itajubá - MG,(35) 3622-2837,,Consultor ambiental,4.9,18.0,"""... recomendo e confio na equipe da empresa Equilibre Ambiental!""",-22.422697,-45.453815
Consultoria em licenciamento sanitário e ambiental para clínicas e fábricas,Itajubá,Garcia Monaco Consultoria Ambiental,Itajubá - MG,(35) 3623-2396,,Consultoria,4.5,8.0,,-22.421421,-45.460667
Consultoria em licenciamento sanitário e ambiental para clínicas e fábricas,Itajubá,Gomes & Silva Consultoria Ambiental,Itajubá - MG,(35) 99150-9333,,Engenharia ambiental,5.0,7.0,"""Equipe super atenciosa, estou satisfeita com o atendimento.""",-22.445606,-45.436924
Consultoria em licenciamento sanitário e ambiental para clínicas e fábricas,Itajubá,CONTÍNUA,Itajubá - MG,(35) 3622-6521,,Clínica especializada,3.7,3.0,"""Atendimento maravilhoso!""",-22.421417,-45.45502
Consultoria em licenciamento sanitário e ambiental para clínicas e fábricas,Itajubá,FSI Serviços Itajubá-MG | Limpeza e conservação de ambientes | Limpeza Pós-Obra | Vigia | Portaria,Itajubá - MG,(35) 2143-1384,,Limpeza,4.5,31.0,,-22.443478,-45.435562
