nicho,cidade,nome,endereco,telefone,website,tipo,nota,reviews,Descricao,Latitude,Longitude
Assessoria técnica em inventário e partilha de imóveis rurais,Itajubá,Alpes Contabilidade e Imobiliária,"R. Dr. Pereira Cabral, 125",(35) 3623-1954,,Imobiliária,5.0,5.0,"""Atendimento ótimo e resolutivo.""",-22.424908,-45.452354
Assessoria técnica em inventário e partilha de imóveis rurais,Itajubá,Cartório de Registro de Imóveis de Itajubá,"Condomínio Edifício Pedra Amarela - Praça Teodomiro Santiago, 104",(35) 3621-3857,,Cartório de Registro de Imóveis,3.3,32.0,"""Recomendo super!""",-22.424047,-45.452038
Assessoria técnica em inventário e partilha de imóveis rurais,Itajubá,UAI IMOVEIS ITAJUBÁ,"Av. Cesário Alvim, 451",(35) 3617-6001,,Imobiliária,5.0,75.0,"""Fui muito bem assessorado na compra de meu imóvel.""",-22.423023,-45.451485
Assessoria técnica em inventário e partilha de imóveis rurais,Itajubá,Leonardo Rodrigues - Corretor e Avaliador de Imóveis,"R. Maj. Belo Lisboa, 29 - Sala 02",(35) 99767-3520,,Agente imobiliário,,,,-22.425257,-45.45442
Assessoria técnica em inventário e partilha de imóveis rurais,Itajubá,Imobiliária Rodrigo Simões,"Av. Cel. Carneiro Júnior, 58 - Sala 04",(35) 98833-1242,,Imobiliária,5.0,15.0,"""Excelente profissional do mercado imobiliário.""",-22.424559,-45.454853
Assessoria técnica em inventário e partilha de imóveis rurais,Itajubá,Ricardo Rosa Corretor de imóveis,"R. Maj. Belo Lisboa, 66 - sala 07",(35) 99220-6305,,Imobiliária,5.0,3.0,,-22.425161,-45.45476
Assessoria técnica em inventário e partilha de imóveis rurais,Itajubá,Imobiliária Nossa Senhora de Fátima,"R. Maj. Belo Lisboa, 235",(35) 3622-4668,,Imobiliária,2.3,3.0,,-22.425333,-45.456367
