nicho,cidade,nome,endereco,telefone,website,tipo,nota,reviews,Descricao,Latitude,Longitude
Projetos de energia solar para propriedades rurais e pousadas,Itajubá,Solarprime Soluções em Energia | Unidade Itajubá,Itajubá - MG,(35) 99139-2758,,Fornecedor de equipamentos a energia solar,5.0,42.0,"""Recomendo a todos q tiverem interesse a usar energia solar.""",-22.441967,-45.433247
Projetos de energia solar para propriedades rurais e pousadas,Itajubá,3T SOLAR - Soluções em Energia | Energia Solar | Painéis Fotovoltáicos,Itajubá - MG,(35) 3622-0802,,Fornecedor de equipamentos a energia solar,4.7,35.0,"""Empresa excelente, ótimo atendimento, agilidade eficiência e preço.""",-22.424833,-45.46815
Projetos de energia solar para propriedades rurais e pousadas,Itajubá,Energia Service,Itajubá - MG,(35) 3617-0296,,Fornecedor de equipamentos a energia solar,4.8,17.0,"""Empresa de ótima qualidade!!""",-22.438341,-45.4369
Projetos de energia solar para propriedades rurais e pousadas,Itajubá,AER,Itajubá - MG,(35) 99204-0064,,Empresa de energia solar,5.0,3.0,,-22.43108,-45.45909
Projetos de energia solar para propriedades rurais e pousadas,Itajubá,Alta Tensão Energia Solar,Itajubá - MG,(35) 2143-1277,,Fornecedor de equipamentos a energia solar,4.9,44.0,"""Ótima empresa, bom atendimento, pós venda excelente, recomendo.""",-22.439768,-45.435738
