nicho,cidade,nome,endereco,telefone,website,tipo,nota,reviews,Descricao,Latitude,Longitude
Certificação de acessibilidade e laudos para edificações públicas,Itajubá,Unidade de Atendimento Integrado (UAI) Itajubá - MG,Itajubá - MG,(35) 99802-1340,,Repartição pública,3.8,175.0,"""Atendentes super educados Ótimo atendimento Lugar bem estruturado""",-22.427402,-45.456757
Certificação de acessibilidade e laudos para edificações públicas,Itajubá,Detranit,Itajubá - MG,(35) 99902-8633,,Escritório da empresa,3.7,7.0,"""Tem outro número que eu possa ligar?""",-22.423029,-45.45361
Certificação de acessibilidade e laudos para edificações públicas,Itajubá,Prefeitura Municipal de Itajubá,Itajubá - MG,(35) 99892-8863,,Prefeitura,4.2,195.0,"""As árvores estão crescendo... E tem que plantar mais !""",-22.412167,-45.436142
