nicho,cidade,nome,endereco,telefone,website,tipo,nota,reviews,Descricao,Latitude,Longitude
restauração de carros antigos Itajubá,Itajubá,D&C Autos Antigos / Restauração e Customização de Veículos Antigos / Restauração de Carros Antigos em Itajubá,"Av. Padre Lourenço da Costa-Rodovia Br-459, 3320",(35) 99851-1900,,Serviço de restauração de automóveis,5.0,20.0,"""Recomendo a D&C Autos Antigos!!""",-22.445433,-45.429886
restauração de carros antigos Itajubá,Itajubá,Clássicos Medeiros - Realize Multi-soluções,"Av. João Antônio Pereira, 280",(35) 3621-8157,,Agência de aluguel de carros,,,,-22.424631,-45.45007
restauração de carros antigos Itajubá,Itajubá,Parque da Cidade - Itajubá,"Av. Dr. Jerson Dias, 175",,,Parque municipal,4.7,6900.0,"""Lugar maravilhoso para passear, comprar e degustar as delícias da região.""",-22.410912,-45.43804
restauração de carros antigos Itajubá,Itajubá,Ratoeira Mecânica e Preparação de Motores,"Av. Pe Lourenço Costa Moreira, 1027 Bairro:",(35) 3622-5330,,Oficina mecânica,5.0,30.0,"""Profissionais excelentes""",-22.429953,-45.44405
