nicho,cidade,nome,endereco,telefone,website,tipo,nota,reviews,Descricao,Latitude,Longitude,nicho_limpo
Regularização de galpões e áreas industriais perante prefeitura,Cruzeiro,Prefeitura Municipal de Novo Cruzeiro,Novo Cruzeiro - MG,(33) 3533-1200,,Prefeitura,3.9,79.0,"""... de um telefone q fale na câmara de vereadores ou na prefeitura""",-17.467169,-41.8794,Regularizao_de_galpes_e_reas_industriais_perante_prefeitura
Regularização de galpões e áreas industriais perante prefeitura,Cruzeiro,Secretaria Municipal de Governo de Cruzeiro,Cruzeiro - SP,(12) 3141-1100,,Prefeitura,2.8,57.0,"""Fui bem atendido e foi solucionado o meu problema.""",-22.575705,-44.95848,Regularizao_de_galpes_e_reas_industriais_perante_prefeitura
Regularização de galpões e áreas industriais perante prefeitura,Poços de Caldas,Prefeitura Municipal de Poços de Caldas,"Tv. Santa Cruz, 149",(35) 3697-2020,,,0.0,0.0,,-21.790796,-46.5677,Regularizao_de_galpes_e_reas_industriais_perante_prefeitura
Regularização de galpões e áreas industriais perante prefeitura,Poços de Caldas,Prefeitura Municipal de Poços de Caldas,"R. São José, 238",(35) 3697-2188,,,0.0,0.0,,-21.787243,-46.59189,Regularizao_de_galpes_e_reas_industriais_perante_prefeitura
Regularização de galpões e áreas industriais perante prefeitura,Santa Rita do Sapucaí,Prefeitura Municipal de Santa Rita do Sapucaí,Santa Rita do Sapucaí - MG,(35) 3473-3200,,Prefeitura,4.2,98.0,"""Fui muito atendida e resolvi a questão que fui tratar.""",-22.24931,-45.705482,Regularizao_de_galpes_e_reas_industriais_perante_prefeitura
Regularização de galpões e áreas industriais perante prefeitura,Santa Rita do Sapucaí,Centro de Apoio ao Cidadão da Câmara Municipal de Santa Rita do Sapucaí,Santa Rita do Sapucaí - MG,(35) 3471-1871,,Repartição pública local,5.0,1.0,"""Amei recomendo.""",-22.255651,-45.70257,Regularizao_de_galpes_e_reas_industriais_perante_prefeitura
Regularização de galpões e áreas industriais perante prefeitura,Santa Rita do Sapucaí,Tiro de Guerra de Santa Rita de Sapucaí 04-040,Santa Rita do Sapucaí - MG,(35) 3471-2150,,Base militar,4.8,9.0,,-22.242496,-45.71124,Regularizao_de_galpes_e_reas_industriais_perante_prefeitura
